City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tilichiki,RU,60.4667,166.1,-25.46,98,69,4.74,broken clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,74.82,64,20,11.5,few clouds
2,Bambous Virieux,MU,-20.3428,57.7575,83.21,69,75,5.75,broken clouds
3,Atagay,RU,55.1033,99.3875,29.79,84,89,5.68,overcast clouds
4,Maltahohe,NA,-24.8333,16.9833,91.92,10,0,8.3,clear sky
5,Busselton,AU,-33.65,115.3333,69.46,80,100,14.09,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,42.91,75,100,10.36,overcast clouds
7,Hobart,AU,-42.8794,147.3294,57.06,57,40,20.71,scattered clouds
8,Kodiak,US,57.79,-152.4072,19.45,69,1,34.27,clear sky
9,Chute-Aux-Outardes,CA,49.1168,-68.399,19.38,93,100,9.22,overcast clouds
10,Vaini,TO,-21.2,-175.2,77.16,100,75,2.3,light rain
11,Muros,ES,42.7762,-9.0603,56.84,43,1,5.59,clear sky
12,Bonavista,CA,48.6499,-53.1147,15.03,81,100,24.7,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,76.17,85,53,8.01,broken clouds
14,Avarua,CK,-21.2078,-159.775,71.65,100,32,1.14,scattered clouds
15,Dedovichi,RU,57.5517,29.9502,32.32,86,100,14.25,overcast clouds
16,Carnarvon,AU,-24.8667,113.6333,81.48,75,4,14.03,clear sky
17,Atuona,PF,-9.8,-139.0333,79.36,77,25,16.62,scattered clouds
18,Meulaboh,ID,4.1363,96.1285,77.85,85,96,1.59,moderate rain
19,Rikitea,PF,-23.1203,-134.9692,79.05,77,95,11.41,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,89.11,38,0,9.22,clear sky
21,Aketi,CD,2.7388,23.7833,83.98,55,95,4.99,overcast clouds
22,Acajutla,SV,13.5928,-89.8275,75.74,82,8,4.79,clear sky
23,Mahebourg,MU,-20.4081,57.7,83.25,69,75,5.75,broken clouds
24,Hermanus,ZA,-34.4187,19.2345,88.81,53,0,13.29,clear sky
25,Visnes,NO,59.3556,5.2242,44.98,61,0,8.05,clear sky
26,Port Elizabeth,ZA,-33.918,25.5701,80.31,69,0,16.11,clear sky
27,Castro,BR,-24.7911,-50.0119,74.43,65,18,3.76,few clouds
28,La Tijera,MX,19.9,-104.4,49.96,74,30,3.22,scattered clouds
29,College,US,64.8569,-147.8028,1.38,85,40,3.44,scattered clouds
30,Hirna,ET,9.2167,41.1,71.53,42,100,3.47,overcast clouds
31,Leh,IN,34.1667,77.5833,20.23,78,100,0.96,overcast clouds
32,Jinchang,CN,38.4953,102.1739,39.34,32,100,6.13,overcast clouds
33,Faanui,PF,-16.4833,-151.75,82.31,72,100,9.44,light rain
34,East London,ZA,-33.0153,27.9116,77.94,73,75,14.97,broken clouds
35,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,18.99,broken clouds
36,Provideniya,RU,64.3833,-173.3,-17.82,95,54,5.28,broken clouds
37,Ushuaia,AR,-54.8,-68.3,49.62,65,20,2.3,few clouds
38,Doha,QA,25.2867,51.5333,80.91,42,0,13.8,clear sky
39,New Norfolk,AU,-42.7826,147.0587,56.7,48,86,3.0,overcast clouds
40,Kuzino,RU,57.0224,59.4412,15.03,89,100,8.08,overcast clouds
41,Touros,BR,-5.1989,-35.4608,84.87,66,92,14.03,overcast clouds
42,Kapaa,US,22.0752,-159.319,73.72,74,100,24.16,overcast clouds
43,Victoria,HK,22.2855,114.1577,68.38,69,26,17.0,scattered clouds
44,Atambua,ID,-9.1061,124.8925,72.86,89,94,3.87,overcast clouds
45,Butaritari,KI,3.0707,172.7902,81.68,80,100,14.65,overcast clouds
46,Mataura,NZ,-46.1927,168.8643,52.63,99,22,2.3,few clouds
47,Da Nang,VN,16.0678,108.2208,71.58,73,20,0.0,few clouds
48,Muroto,JP,33.2833,134.15,45.32,55,57,9.28,broken clouds
49,Luanda,AO,-8.8368,13.2343,86.0,70,20,17.27,few clouds
